user,open_issues,closed_issues,total_issues,close_rate,average_open_duration_days
DarkGhostHunter,1,0,1,0.0,
Fulliton,1,0,1,0.0,
JshGrn,0,1,1,1.0,0.0
Livijn,0,1,1,1.0,0.0
MasihTak,1,0,1,0.0,
clarkewing,0,1,1,1.0,0.0
eduardo-intervyou,0,1,1,1.0,0.0
enduity,0,1,1,1.0,1.0
ghbob,1,0,1,0.0,
hussonkevin,0,1,1,1.0,1.0
itsbhavinrey,0,1,1,1.0,0.0
mnastalski,1,0,1,0.0,
pgogy,0,1,1,1.0,2.0
sebestenyb,1,0,1,0.0,
sts-ryan-holton,1,0,1,0.0,
sumaiazaman,0,1,1,1.0,2.0
swaty007,1,0,1,0.0,
wattskenneth043,0,1,1,1.0,0.0
